Language,Model,Task,Input Tokens,Output Tokens,Total Tokens,Adjusted Tokens,Compilation Success,Timestamp
glyph,gpt-5.3-codex,01_hello_world,1152,28,1180,101,True,2026-03-07 15:33:12
glyph,gpt-5.3-codex,02_fibonacci,1237,46,1283,204,True,2026-03-07 15:33:14
glyph,gpt-5.3-codex,03_vector_ops,1266,90,1356,277,True,2026-03-07 15:33:17
glyph,gpt-5.3-codex,04_error_handling,1286,56,1342,263,True,2026-03-07 15:33:19
glyph,gpt-5.3-codex,05_file_io,1266,129,1395,316,True,2026-03-07 15:33:23
glyph,gpt-5.3-codex,06_struct_methods,1403,112,1515,436,True,2026-03-07 15:33:25
glyph,gpt-5.3-codex,07_word_freq,1414,380,1794,715,False,2026-03-07 15:33:31
glyph,gpt-4o-mini,01_hello_world,1153,28,1181,102,True,2026-03-07 15:33:33
glyph,gpt-4o-mini,02_fibonacci,1238,44,1282,203,True,2026-03-07 15:33:34
glyph,gpt-4o-mini,03_vector_ops,1267,80,1347,268,True,2026-03-07 15:33:37
glyph,gpt-4o-mini,04_error_handling,1287,56,1343,264,True,2026-03-07 15:33:39
glyph,gpt-4o-mini,05_file_io,1267,136,1403,324,False,2026-03-07 15:33:43
glyph,gpt-4o-mini,06_struct_methods,1404,112,1516,437,True,2026-03-07 15:33:47
glyph,gpt-4o-mini,07_word_freq,1415,321,1736,657,False,2026-03-07 15:33:54
rust,gpt-5.3-codex,01_hello_world,72,16,88,88,True,2026-03-07 15:33:56
rust,gpt-5.3-codex,02_fibonacci,157,46,203,203,True,2026-03-07 15:33:58
rust,gpt-5.3-codex,03_vector_ops,186,63,249,249,True,2026-03-07 15:34:00
rust,gpt-5.3-codex,04_error_handling,206,58,264,264,True,2026-03-07 15:34:02
rust,gpt-5.3-codex,05_file_io,186,79,265,265,True,2026-03-07 15:34:04
rust,gpt-5.3-codex,06_struct_methods,323,186,509,509,True,2026-03-07 15:34:09
rust,gpt-5.3-codex,07_word_freq,334,232,566,566,True,2026-03-07 15:34:12
rust,gpt-4o-mini,01_hello_world,73,16,89,89,True,2026-03-07 15:34:14
rust,gpt-4o-mini,02_fibonacci,158,46,204,204,True,2026-03-07 15:34:16
rust,gpt-4o-mini,03_vector_ops,187,62,249,249,True,2026-03-07 15:34:18
rust,gpt-4o-mini,04_error_handling,207,58,265,265,True,2026-03-07 15:34:20
rust,gpt-4o-mini,05_file_io,187,82,269,269,True,2026-03-07 15:34:22
rust,gpt-4o-mini,06_struct_methods,324,205,529,529,True,2026-03-07 15:34:26
rust,gpt-4o-mini,07_word_freq,335,245,580,580,True,2026-03-07 15:34:32
c,gpt-5.3-codex,01_hello_world,72,27,99,99,True,2026-03-07 15:34:34
c,gpt-5.3-codex,02_fibonacci,157,50,207,207,True,2026-03-07 15:34:36
c,gpt-5.3-codex,03_vector_ops,186,176,362,362,True,2026-03-07 15:34:39
c,gpt-5.3-codex,04_error_handling,206,127,333,333,True,2026-03-07 15:34:42
c,gpt-5.3-codex,05_file_io,186,134,320,320,True,2026-03-07 15:34:45
c,gpt-5.3-codex,06_struct_methods,323,141,464,464,True,2026-03-07 15:34:47
c,gpt-5.3-codex,07_word_freq,334,849,1183,1183,True,2026-03-07 15:34:59
c,gpt-4o-mini,01_hello_world,73,28,101,101,True,2026-03-07 15:35:01
c,gpt-4o-mini,02_fibonacci,158,123,281,281,True,2026-03-07 15:35:04
c,gpt-4o-mini,03_vector_ops,187,224,411,411,True,2026-03-07 15:35:09
c,gpt-4o-mini,04_error_handling,207,264,471,471,True,2026-03-07 15:35:13
c,gpt-4o-mini,05_file_io,187,117,304,304,True,2026-03-07 15:35:16
c,gpt-4o-mini,06_struct_methods,324,181,505,505,True,2026-03-07 15:35:20
c,gpt-4o-mini,07_word_freq,335,532,867,867,True,2026-03-07 15:35:31
cpp,gpt-5.3-codex,01_hello_world,72,32,104,104,True,2026-03-07 15:35:33
